"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2024-11-06,2626.57,2552.95,2553.13,NA,1,NA
2024-11-05,2576.7,2555.8,2574.13,NA,1,NA
2024-11-04,2582,2564.42,2571.98,NA,1,NA
2024-11-01,2564.75,2546.14,2557.22,NA,1,NA
2024-10-31,2562.6,2535.33,2542.41,NA,1,NA
2024-10-30,2608.27,2571.21,2578.38,NA,1,NA
2024-10-29,2639.52,2610.77,2610.77,NA,1,NA
2024-10-28,2627.7,2595.83,2624.09,NA,1,NA
2024-10-25,2601.57,2574.8,2592.28,NA,1,NA
2024-10-24,2600.13,2576.57,2578.09,NA,1,NA
2024-10-23,2588.52,2565.16,2581.33,NA,1,NA
2024-10-22,2580.99,2550.27,2571.51,NA,1,NA
2024-10-21,2602.51,2571.94,2576.2,NA,1,NA
2024-10-18,2599.95,2572.48,2594.3,NA,1,NA
2024-10-17,2598.52,2583.3,2585.81,NA,1,NA
2024-10-16,2585.5,2558.86,2580.09,NA,1,NA
2024-10-15,2619.57,2577.07,2577.07,NA,1,NA
2024-10-14,2598.25,2579.01,2598.25,NA,1,NA
2024-10-11,2591.66,2566.31,2588.72,NA,1,NA
2024-10-10,2597.16,2562.27,2573.91,NA,1,NA
2024-10-09,2598.95,2577.36,2594.91,NA,1,NA
2024-10-08,2598.06,2574.93,2587.89,NA,1,NA
2024-10-07,2611.55,2586.98,2602.66,NA,1,NA
2024-10-04,2616.31,2588.63,2603.79,NA,1,NA
2024-10-03,2619.72,2588.82,2594.5,NA,1,NA
2024-10-02,2623.3,2606.13,2620.66,NA,1,NA
2024-10-01,2641.22,2603.65,2611.34,NA,1,NA
2024-09-30,2649.49,2620.14,2626.44,NA,1,NA
2024-09-27,2647.92,2632.41,2639.45,NA,1,NA
2024-09-26,2649.92,2625.17,2642.43,NA,1,NA
2024-09-25,2615.04,2582.87,2610.91,NA,1,NA
2024-09-24,2608.84,2577.55,2590.01,NA,1,NA
2024-09-23,2591.99,2563.66,2583.85,NA,1,NA
2024-09-20,2595.6,2574.02,2579.15,NA,1,NA
2024-09-19,2600.75,2565.71,2592.91,NA,1,NA
2024-09-18,2555.21,2536.5,2544.25,NA,1,NA
2024-09-17,2561.46,2537.84,2555.9,NA,1,NA
2024-09-16,2534.58,2514.69,2529.75,NA,1,NA
2024-09-13,2528.71,2513.08,2525.18,NA,1,NA
2024-09-12,2537.73,2499.88,2510.54,NA,1,NA
2024-09-11,2515.34,2482,2489.95,NA,1,NA
2024-09-10,2521.74,2489.79,2495.76,NA,1,NA
2024-09-09,2517.43,2495.69,2511.44,NA,1,NA
2024-09-06,2516.08,2478.33,2480.99,NA,1,NA
2024-09-05,2532.05,2505.43,2509.3,NA,1,NA
2024-09-04,2544.27,2521.95,2531.72,NA,1,NA
2024-09-03,2598.92,2562.19,2565.78,NA,1,NA
