date,bid,ask,open,high,low,close,average,total_volume,turnover,trades
2024-11-20,,,2508.29,2513.74,2483.49,2484.49,,1,,
2024-11-19,,,2515.21,2518.15,2462.17,2493.48,,1,,
2024-11-18,,,2509.39,2518.88,2489.89,2506.91,,1,,
2024-11-15,,,2513.49,2530.64,2506.38,2509.99,,1,,
2024-11-14,,,2519.58,2535.77,2507.08,2531.39,,1,,
2024-11-13,,,2512.19,2520.59,2493.72,2512.56,,1,,
2024-11-12,,,2556.15,2558.6,2508.64,2514.23,,1,,
2024-11-11,,,2574.54,2584.28,2571.95,2576.43,,1,,
2024-11-08,,,2583.17,2584.14,2546.84,2558.74,,1,,0.0
2024-11-07,,,2559.9,2593.98,2558.65,2584.72,,1,,0.0
2024-11-06,,,2590.9,2626.57,2552.95,2553.13,,1,,0.0
2024-11-05,,,2571.96,2576.7,2555.8,2574.13,,1,,0.0
2024-11-04,,,2564.42,2582.0,2564.42,2571.98,,1,,0.0
2024-11-01,,,2546.14,2564.75,2546.14,2557.22,,1,,0.0
2024-10-31,,,2556.57,2562.6,2535.33,2542.41,,1,,0.0
2024-10-30,,,2604.59,2608.27,2571.21,2578.38,,1,,0.0
2024-10-29,,,2632.11,2639.52,2610.77,2610.77,,1,,0.0
2024-10-28,,,2601.84,2627.7,2595.83,2624.09,,1,,0.0
2024-10-25,,,2575.85,2601.57,2574.8,2592.28,,1,,0.0
2024-10-24,,,2578.89,2600.13,2576.57,2578.09,,1,,0.0
2024-10-23,,,2573.32,2588.52,2565.16,2581.33,,1,,0.0
2024-10-22,,,2579.44,2580.99,2550.27,2571.51,,1,,0.0
2024-10-21,,,2591.1,2602.51,2571.94,2576.2,,1,,0.0
2024-10-18,,,2573.41,2599.95,2572.48,2594.3,,1,,0.0
2024-10-17,,,2587.72,2598.52,2583.3,2585.81,,1,,0.0
2024-10-16,,,2563.94,2585.5,2558.86,2580.09,,1,,0.0
2024-10-15,,,2601.89,2619.57,2577.07,2577.07,,1,,0.0
2024-10-14,,,2591.51,2598.25,2579.01,2598.25,,1,,0.0
2024-10-11,,,2571.67,2591.66,2566.31,2588.72,,1,,0.0
2024-10-10,,,2592.08,2597.16,2562.27,2573.91,,1,,0.0
2024-10-09,,,2585.71,2598.95,2577.36,2594.91,,1,,0.0
2024-10-08,,,2583.79,2598.06,2574.93,2587.89,,1,,0.0
2024-10-07,,,2610.95,2611.55,2586.98,2602.66,,1,,0.0
2024-10-04,,,2593.05,2616.31,2588.63,2603.79,,1,,0.0
2024-10-03,,,2615.31,2619.72,2588.82,2594.5,,1,,0.0
2024-10-02,,,2614.33,2623.3,2606.13,2620.66,,1,,0.0
2024-10-01,,,2632.75,2641.22,2603.65,2611.34,,1,,0.0
2024-09-30,,,2635.19,2649.49,2620.14,2626.44,,1,,0.0
2024-09-27,,,2644.79,2647.92,2632.41,2639.45,,1,,0.0
2024-09-26,,,2641.71,2649.92,2625.17,2642.43,,1,,0.0
2024-09-25,,,2582.87,2615.04,2582.87,2610.91,,1,,0.0
